GID	CID	SID	PEDIGREE	Drought_Yield	Irrig_Yield	Irrig_TKW	Irrig_DTH
6001107	495361	124	CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*JANZ/6/STREZLECKI	4.42	6.08	48.5	84
6001115	495361	132	CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*JANZ/6/STREZLECKI	4.13	6.95	43.3	81
6001118	495361	135	CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*JANZ/6/STREZLECKI	4.19	6.05	47.6	85.5
6001122	495362	111	CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*JANZ/6/SOKOLL	3.87	6.74	50.3	95.5
6001124	495362	113	CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*JANZ/6/SOKOLL	4.65	7.26	49.1	85
6001129	495362	118	CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*JANZ/6/SOKOLL	4.43	6.87	39.3	96
6001137	495387	100	D67.2/P66.270//AE.SQUARROSA (320)/3/CUNNINGHAM/4/WBLL1*2/TUKURU	4.92	6.68	50.3	87
6001138	495387	101	D67.2/P66.270//AE.SQUARROSA (320)/3/CUNNINGHAM/4/WBLL1*2/TUKURU	4.4	7.32	50.9	86
6001141	495406	140	CROC_1/AE.SQUARROSA (224)//OPATA/3/RAC655/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ	4.4	6.89	47.5	81.5
6001155	495427	64	CROC_1/AE.SQUARROSA (205)//BORL95/3/KENNEDY/4/WBLL1*2/TUKURU	4.21	7.13	46.9	87.5
6001166	495445	51	PARUS/PASTOR//FRET2*2/KUKUNA	4.4	4.33	53.4	85.5
6001172	495447	74	SOKOLL//FRTL/2*PIFED	4.29	7.26	47.4	85.5
6001175	495447	77	SOKOLL//FRTL/2*PIFED	4.19	6.98	51.9	81
6001178	495447	80	SOKOLL//FRTL/2*PIFED	4.21	7.5	43.5	86.5
6001179	495447	81	SOKOLL//FRTL/2*PIFED	4.36	7.08	46	85
6001210	508311	32	ASTREB/OAX93.10.1//SOKOLL	4.4	7.8	45.9	83
6001212	508311	34	ASTREB/OAX93.10.1//SOKOLL	4.12	7.34	54.2	86.5
